joint_name,lower_limit,upper_limit,damping,friction,velocity_limit,effort_limit
torso_yaw,-43,43,2,0,120,
torso_pitch,-18,45,2,0,120,
torso_roll,-23,23,2,0,120,
r_shoulder_pitch,-175,20,2,0,120,
r_shoulder_roll,12,163,2,0,120,
r_shoulder_yaw,-50,80,2,0,120,
l_shoulder_pitch,-175,20,2,0,120,
l_shoulder_roll,12,163,2,0,120,
l_shoulder_yaw,-50,80,2,0,120,
l_hip_pitch,-45,115,2,0,120,
l_hip_roll,-10,112,2,0,120,
l_hip_yaw,-80,80,2,0,120,
l_knee,-70,5,2,0,120,
l_ankle_pitch,-45,45,2,0,120,
l_ankle_roll,-25,25,2,0,120,
r_hip_pitch,-45,115,2,0,120,
r_hip_roll,-10,112,2,0,120,
r_hip_yaw,-80,80,2,0,120,
r_knee,-70,5,2,0,120,
r_ankle_pitch,-45,45,2,0,120,
r_ankle_roll,-25,25,2,0,120,
neck_pitch,-30,22,2,0,120,
neck_roll,-20,20,2,0,120,
neck_yaw,-45,45,2,0,120,
l_elbow,-3,75,2,0,120,
l_wrist_prosup,-88,88,2,0,120,
l_wrist_pitch,-70,25,2,0,120,
l_wrist_yaw,-15,35,2,0,120,
r_elbow,-3,75,2,0,120,
r_wrist_prosup,-88,88,2,0,120,
r_wrist_pitch,-70,25,2,0,120,
r_wrist_yaw,-15,35,2,0,120,
